Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery,1,3.7 V,
"D1, D10, D11, D12, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,15,~,
J1,OLED_128x64,1,OLED_128x64,
"R1, R2",0805,2,4.7K,
"R3, R4",0805,2,10k,
"S1, S10, S11, S12, S2, S3, S4, S5, S6, S7, S8, S9",Hotswap_MX_1.00u,12,~,
"SW1, SW2",Encoder_EC11_MX,2,RotaryEncoder_Switch,
SW3,SW_SPST_B3U-1000P,1,Reset,
SW4,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_SPDT_321,
SW5,SW_SPDT_Shouhan_MSK12C02,1,Switch,
"U1, U4, U5, U6",LED-SMD_WS2812B-4020,4,WS2812B-4020,C965557
U10,HDR-TH_4P-P2.54-V-M,1,DRV2505L,C2691448
U7,SW-SMD_SKRHAAE010,1,SKRHAAE010,C202423
U8,HDR-TH_4P-P2.54-V-M,1,JoyStick,C2691448
U9,HDR-TH_4P-P2.54-V-M,1,MPU6050,C2691448
