Designator,Mid X,Mid Y,Rotation,Layer
BT1,-505.8625,-8.3625,180.0,top
D1,-595.3625,2.1375,90.0,bottom
D10,-576.3625,-36.8625,90.0,bottom
D11,-557.3625,-36.8625,90.0,bottom
D12,-538.3625,-36.8625,90.0,bottom
D18,-534.3625,-3.3625,90.0,bottom
D19,-530.8625,-3.3625,90.0,bottom
D2,-576.3625,2.1375,90.0,bottom
D20,-608.8625,20.6375,90.0,bottom
D3,-557.3625,2.1375,90.0,bottom
D4,-538.3625,2.1375,90.0,bottom
D5,-595.3625,-17.8625,90.0,bottom
D6,-576.3625,-17.8625,90.0,bottom
D7,-557.3625,-17.8625,90.0,bottom
D8,-538.3625,-17.8625,90.0,bottom
D9,-595.3625,-36.8625,90.0,bottom
J1,-518.860275,37.2145,180.0,top
R1,-515.8925,14.28,270.0,bottom
R2,-513.3925,14.28,270.0,bottom
R3,-578.3625,41.1375,90.0,bottom
R4,-575.8625,41.1375,90.0,bottom
S1,-604.8375,4.7375,0.0,top
S10,-585.7875,-33.3625,0.0,top
S11,-566.7375,-33.3625,0.0,top
S12,-547.6875,-33.3625,0.0,top
S2,-585.7875,4.7375,0.0,top
S3,-566.7375,4.7375,0.0,top
S4,-547.6875,4.7375,0.0,top
S5,-604.8375,-14.3125,0.0,top
S6,-585.7875,-14.3125,0.0,top
S7,-566.7375,-14.3125,0.0,top
S8,-547.6875,-14.3125,0.0,top
S9,-604.8375,-33.3625,0.0,top
SW1,-518.1125,-31.3625,0.0,top
SW2,-518.1125,-1.8625,0.0,top
SW3,-509.8625,14.1375,0.0,bottom
SW4,-553.3625,43.6775,90.0,top
SW5,-504.8625,0.6375,270.0,bottom
U1,-504.3625,49.862544,90.0,bottom
U10,-552.755744,28.522502,0.0,bottom
U3,-520.5925,14.6375,270.0,top
U4,-504.3625,-41.8625,90.0,bottom
U5,-612.3625,-42.137456,270.0,bottom
U6,-612.3625,49.862544,270.0,bottom
U7,-602.45625,28.55,90.0,top
U8,-578.540012,47.08502,270.0,top
U9,-552.544963,18.6375,180.0,top
